"","REGION","PRIMARY_SAMPLE_UNIT","STATION_NR","YEAR","MONTH","DAY","HABITAT_CD","STRAT","RUGOSITY_CD","WTD_RUG","LAT_DEGREES","LON_DEGREES","MAPGRID_NR","SUB_REGION_NAME","SUB_REGION_NR","ZONE_NAME","ZONE_NR","MPA_NAME","MPA_NR","ADMIN","PROT","DEPTH_STRAT","MIN_DEPTH","MAX_DEPTH","METERS_COMPLETED","SPECIES_CD","SPECIES_NAME","N","JUV","MAX_DIAMETER","PERP_DIAMETER","HEIGHT","OLD_MORT","RECENT_MORT","BLEACH_CONDITION","DISEASE","SURVEY","SurveyCode","MilSortCode","BleachingPresAbs"
"54","FLK","5611488",1,2005,NA,NA,"ISOL_MR","MCPR",NA,NA,25.36492,-80.18887,1963603,"Biscayne",12,"Mid Channel",2,"BISC_SRZ",28,NA,1,NA,1.021079967,1.487423952,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA,"SCREAM","2005-NA-NA-5611488","2005-NA-NA-5611488-1",1
"55","FLK","5821506",1,2005,NA,NA,"ISOL_MR","MCPR",NA,NA,25.40302,-80.15222,1972857,"Biscayne",12,"Mid Channel",2,"BISC_MRZ",27,NA,1,NA,1.487423952,2.50850392,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA,"SCREAM","2005-NA-NA-5821506","2005-NA-NA-5821506-1",1
"56","FLK","5851500",1,2005,NA,NA,"ISOL_MR","MCPR",NA,NA,25.40838,-80.16605,1974081,"Biscayne",12,"Mid Channel",2,"BISC_MRZ",27,NA,1,NA,1.115567964,1.764791944,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA,"SCREAM","2005-NA-NA-5851500","2005-NA-NA-5851500-1",1
"57","FLK","5861518",1,2005,NA,NA,"SPGR_HR","HRRF",NA,NA,25.40992,-80.12863,1974505,"Biscayne",12,"Forereef",4,"BISC_MRZ",27,NA,1,NA,1.301495958,1.578863949,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA,"SCREAM","2005-NA-NA-5861518","2005-NA-NA-5861518-1",1
"58","FLK","5931507",1,2005,NA,NA,"ISOL_MR","MCPR",NA,NA,25.42308,-80.15137,1977004,"Biscayne",12,"Mid Channel",2,"BISC_MRZ",27,NA,1,NA,0.649223979,0.92963997,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA,"SCREAM","2005-NA-NA-5931507","2005-NA-NA-5931507-1",1
"59","FLK","5941502",1,2005,NA,NA,"ISOL_MR","MCPR",NA,NA,25.42517,-80.16072,1977348,"Biscayne",12,"Mid Channel",2,"BISC_MRZ",27,NA,1,NA,1.021079967,1.487423952,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA,"SCREAM","2005-NA-NA-5941502","2005-NA-NA-5941502-1",1
"60","FLK","5941520",1,2005,NA,NA,"SPGR_LR","FSLR",NA,NA,25.42385,-80.12563,1977208,"Biscayne",12,"Forereef",4,"BISC_MRZ",27,NA,1,NA,0.92963997,1.115567964,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA,"SCREAM","2005-NA-NA-5941520","2005-NA-NA-5941520-1",1
"61","FLK","6001515",1,2005,NA,NA,"ISOL_MR","MCPR",NA,NA,25.43485,-80.1358,1979271,"Biscayne",12,"Mid Channel",2,"BISC_MRZ",27,NA,1,NA,1.021079967,1.487423952,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA,"SCREAM","2005-NA-NA-6001515","2005-NA-NA-6001515-1",1
"62","FLK","6061505",1,2005,NA,NA,"ISOL_MR","MCPR",NA,NA,25.44545,-80.15425,1981263,"Biscayne",12,"Mid Channel",2,"BISC_MRZ",27,NA,1,NA,1.021079967,1.207007961,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA,"SCREAM","2005-NA-NA-6061505","2005-NA-NA-6061505-1",1
"63","FLK","6081522",1,2005,NA,NA,"SPGR_HR","HRRF",NA,NA,25.44908,-80.121,1981944,"Biscayne",12,"Forereef",4,"BISC_MRZ",27,NA,1,NA,2.136647932,2.414015923,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA,"SCREAM","2005-NA-NA-6081522","2005-NA-NA-6081522-1",1
